"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - memory_usage","raschka_cpu_Seed45887 - memory_usage__MIN","raschka_cpu_Seed45887 - memory_usage__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - memory_usage","karpathy_cpu_Seed45887 - memory_usage__MIN","karpathy_cpu_Seed45887 - memory_usage__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - memory_usage","raschka_cpu_Seed5678 - memory_usage__MIN","raschka_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - memory_usage","karpathy_cpu_Seed5678 - memory_usage__MIN","karpathy_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - memory_usage","karpathy_cpu_Seed123 - memory_usage__MIN","karpathy_cpu_Seed123 - memory_usage__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - memory_usage","raschka_cpu_Seed123 - memory_usage__MIN","raschka_cpu_Seed123 - memory_usage__MAX"
"4800","24","24","24","5727.8515625","5727.8515625","5727.8515625","49","49","49","3182.515625","3182.515625","3182.515625","24","24","24","5555.13671875","5555.13671875","5555.13671875","49","49","49","3186.9765625","3186.9765625","3186.9765625","49","49","49","3198.8125","3198.8125","3198.8125","24","24","24","5695.19140625","5695.19140625","5695.19140625"
"5000","25","25","25","5725.109375","5725.109375","5725.109375","51","51","51","3187.5078125","3187.5078125","3187.5078125","25","25","25","5441.79296875","5441.79296875","5441.79296875","51","51","51","3183.98046875","3183.98046875","3183.98046875","51","51","51","3196.81640625","3196.81640625","3196.81640625","25","25","25","5899.65234375","5899.65234375","5899.65234375"
"5200","26","26","26","5995.609375","5995.609375","5995.609375","53","53","53","3184.51171875","3184.51171875","3184.51171875","26","26","26","5473.86328125","5473.86328125","5473.86328125","53","53","53","3183.98046875","3183.98046875","3183.98046875","53","53","53","3198.8125","3198.8125","3198.8125","26","26","26","5836.83203125","5836.83203125","5836.83203125"
"5400","27","27","27","6047.6953125","6047.6953125","6047.6953125","55","55","55","3184.51171875","3184.51171875","3184.51171875","27","27","27","5433.27734375","5433.27734375","5433.27734375","55","55","55","3186.9765625","3186.9765625","3186.9765625","55","55","55","3199.85546875","3199.85546875","3199.85546875","27","27","27","5850.53125","5850.53125","5850.53125"
"5600","28","28","28","5944.171875","5944.171875","5944.171875","57","57","57","3187.5078125","3187.5078125","3187.5078125","28","28","28","5720.57421875","5720.57421875","5720.57421875","57","57","57","3186.9765625","3186.9765625","3186.9765625","57","57","57","3199.82421875","3199.82421875","3199.82421875","28","28","28","5681.6640625","5681.6640625","5681.6640625"
"5800","29","29","29","5737.69140625","5737.69140625","5737.69140625","59","59","59","3187.5078125","3187.5078125","3187.5078125","29","29","29","5420.74609375","5420.74609375","5420.74609375","59","59","59","3183.98046875","3183.98046875","3183.98046875","59","59","59","3198.82421875","3198.82421875","3198.82421875","29","29","29","5663.6640625","5663.6640625","5663.6640625"
"6000","30","30","30","5714.8671875","5714.8671875","5714.8671875","61","61","61","3190.2265625","3190.2265625","3190.2265625","30","30","30","5468.359375","5468.359375","5468.359375","61","61","61","3189.6953125","3189.6953125","3189.6953125","61","61","61","3198.8359375","3198.8359375","3198.8359375","30","30","30","5701.19140625","5701.19140625","5701.19140625"
"6200","31","31","31","5731.06640625","5731.06640625","5731.06640625","63","63","63","3193.22265625","3193.22265625","3193.22265625","31","31","31","5451.31640625","5451.31640625","5451.31640625","63","63","63","3189.6953125","3189.6953125","3189.6953125","63","63","63","3198.8828125","3198.8828125","3198.8828125","31","31","31","5680.19921875","5680.19921875","5680.19921875"
"6400","32","32","32","5883.16015625","5883.16015625","5883.16015625","65","65","65","3193.22265625","3193.22265625","3193.22265625","32","32","32","5446.53515625","5446.53515625","5446.53515625","65","65","65","3192.69140625","3192.69140625","3192.69140625","65","65","65","3198.8828125","3198.8828125","3198.8828125","32","32","32","5695.6015625","5695.6015625","5695.6015625"
"6600","33","33","33","5980.265625","5980.265625","5980.265625","67","67","67","3193.22265625","3193.22265625","3193.22265625","33","33","33","5426.515625","5426.515625","5426.515625","67","67","67","3192.69140625","3192.69140625","3192.69140625","67","67","67","3199.8828125","3199.8828125","3199.8828125","33","33","33","5692.48046875","5692.48046875","5692.48046875"
