"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - time_per_step_ms","raschka_cpu_Seed45887 - time_per_step_ms__MIN","raschka_cpu_Seed45887 - time_per_step_ms__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - time_per_step_ms","karpathy_cpu_Seed45887 - time_per_step_ms__MIN","karpathy_cpu_Seed45887 - time_per_step_ms__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - time_per_step_ms","raschka_cpu_Seed5678 - time_per_step_ms__MIN","raschka_cpu_Seed5678 - time_per_step_ms__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - time_per_step_ms","karpathy_cpu_Seed5678 - time_per_step_ms__MIN","karpathy_cpu_Seed5678 - time_per_step_ms__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - time_per_step_ms","karpathy_cpu_Seed123 - time_per_step_ms__MIN","karpathy_cpu_Seed123 - time_per_step_ms__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - time_per_step_ms","raschka_cpu_Seed123 - time_per_step_ms__MIN","raschka_cpu_Seed123 - time_per_step_ms__MAX"
"4400","22","22","22","3169.53182220459","3169.53182220459","3169.53182220459","45","45","45","14781.45980834961","14781.45980834961","14781.45980834961","22","22","22","6634.10496711731","6634.10496711731","6634.10496711731","45","45","45","14429.235458374023","14429.235458374023","14429.235458374023","45","45","45","14486.89603805542","14486.89603805542","14486.89603805542","22","22","22","3160.2234840393066","3160.2234840393066","3160.2234840393066"
"4600","23","23","23","3083.2464694976807","3083.2464694976807","3083.2464694976807","47","47","47","14474.759817123413","14474.759817123413","14474.759817123413","23","23","23","3133.848190307617","3133.848190307617","3133.848190307617","47","47","47","14229.588508605957","14229.588508605957","14229.588508605957","47","47","47","14892.271280288696","14892.271280288696","14892.271280288696","23","23","23","3592.733144760132","3592.733144760132","3592.733144760132"
"4800","24","24","24","2975.0943183898926","2975.0943183898926","2975.0943183898926","49","49","49","14688.01474571228","14688.01474571228","14688.01474571228","24","24","24","3659.2772006988525","3659.2772006988525","3659.2772006988525","49","49","49","14463.444471359253","14463.444471359253","14463.444471359253","49","49","49","14822.423458099365","14822.423458099365","14822.423458099365","24","24","24","3407.587766647339","3407.587766647339","3407.587766647339"
"5000","25","25","25","2932.0666790008545","2932.0666790008545","2932.0666790008545","51","51","51","14544.126987457275","14544.126987457275","14544.126987457275","25","25","25","2931.154251098633","2931.154251098633","2931.154251098633","51","51","51","14606.378316879272","14606.378316879272","14606.378316879272","51","51","51","14841.577768325806","14841.577768325806","14841.577768325806","25","25","25","4595.241069793701","4595.241069793701","4595.241069793701"
"5200","26","26","26","8267.02618598938","8267.02618598938","8267.02618598938","53","53","53","14421.046018600464","14421.046018600464","14421.046018600464","26","26","26","3379.9707889556885","3379.9707889556885","3379.9707889556885","53","53","53","14677.630186080933","14677.630186080933","14677.630186080933","53","53","53","14652.50301361084","14652.50301361084","14652.50301361084","26","26","26","3781.374454498291","3781.374454498291","3781.374454498291"
"5400","27","27","27","5749.788522720337","5749.788522720337","5749.788522720337","55","55","55","14544.088125228882","14544.088125228882","14544.088125228882","27","27","27","3072.0603466033936","3072.0603466033936","3072.0603466033936","55","55","55","14400.734901428223","14400.734901428223","14400.734901428223","55","55","55","14771.342992782593","14771.342992782593","14771.342992782593","27","27","27","4020.9710597991943","4020.9710597991943","4020.9710597991943"
"5600","28","28","28","3503.429889678955","3503.429889678955","3503.429889678955","57","57","57","14737.360954284668","14737.360954284668","14737.360954284668","28","28","28","5960.301637649536","5960.301637649536","5960.301637649536","57","57","57","14858.855724334717","14858.855724334717","14858.855724334717","57","57","57","14632.861137390137","14632.861137390137","14632.861137390137","28","28","28","3196.049451828003","3196.049451828003","3196.049451828003"
"5800","29","29","29","3253.223419189453","3253.223419189453","3253.223419189453","59","59","59","14611.011505126953","14611.011505126953","14611.011505126953","29","29","29","2880.8205127716064","2880.8205127716064","2880.8205127716064","59","59","59","14417.930603027344","14417.930603027344","14417.930603027344","59","59","59","14712.525606155396","14712.525606155396","14712.525606155396","29","29","29","3403.155565261841","3403.155565261841","3403.155565261841"
"6000","30","30","30","2711.3540172576904","2711.3540172576904","2711.3540172576904","61","61","61","14789.826154708862","14789.826154708862","14789.826154708862","30","30","30","3385.946035385132","3385.946035385132","3385.946035385132","61","61","61","14706.844091415405","14706.844091415405","14706.844091415405","61","61","61","14743.00765991211","14743.00765991211","14743.00765991211","30","30","30","3249.3200302124023","3249.3200302124023","3249.3200302124023"
"6200","31","31","31","3126.7902851104736","3126.7902851104736","3126.7902851104736","63","63","63","14549.320936203003","14549.320936203003","14549.320936203003","31","31","31","3225.2399921417236","3225.2399921417236","3225.2399921417236","63","63","63","14446.97618484497","14446.97618484497","14446.97618484497","63","63","63","14568.912982940674","14568.912982940674","14568.912982940674","31","31","31","3055.2423000335693","3055.2423000335693","3055.2423000335693"
"6400","32","32","32","3587.6474380493164","3587.6474380493164","3587.6474380493164","65","65","65","14578.790664672852","14578.790664672852","14578.790664672852","32","32","32","3028.4581184387207","3028.4581184387207","3028.4581184387207","65","65","65","14564.383745193481","14564.383745193481","14564.383745193481","65","65","65","14774.423837661743","14774.423837661743","14774.423837661743","32","32","32","3377.868175506592","3377.868175506592","3377.868175506592"
