"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - learning_rate","raschka_cpu_Seed45887 - learning_rate__MIN","raschka_cpu_Seed45887 - learning_rate__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - learning_rate","karpathy_cpu_Seed45887 - learning_rate__MIN","karpathy_cpu_Seed45887 - learning_rate__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - learning_rate","raschka_cpu_Seed5678 - learning_rate__MIN","raschka_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - learning_rate","karpathy_cpu_Seed5678 - learning_rate__MIN","karpathy_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - learning_rate","karpathy_cpu_Seed123 - learning_rate__MIN","karpathy_cpu_Seed123 - learning_rate__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - learning_rate","raschka_cpu_Seed123 - learning_rate__MIN","raschka_cpu_Seed123 - learning_rate__MAX"
"4400","22","22","22","0.00003077841218814474","0.00003077841218814474","0.00003077841218814474","45","45","45","0.00003077841218814474","0.00003077841218814474","0.00003077841218814474","22","22","22","0.000029782475554048452","0.000029782475554048452","0.000029782475554048452","45","45","45","0.000029782475554048452","0.000029782475554048452","0.000029782475554048452","45","45","45","0.000029782475554048452","0.000029782475554048452","0.000029782475554048452","22","22","22","0.000029782475554048452","0.000029782475554048452","0.000029782475554048452"
"4600","23","23","23","0.000028903754233639585","0.000028903754233639585","0.000028903754233639585","47","47","47","0.000028903754233639585","0.000028903754233639585","0.000028903754233639585","23","23","23","0.000027949905828007803","0.000027949905828007803","0.000027949905828007803","47","47","47","0.000027949905828007803","0.000027949905828007803","0.000027949905828007803","47","47","47","0.000027949905828007803","0.000027949905828007803","0.000027949905828007803","23","23","23","0.000027949905828007803","0.000027949905828007803","0.000027949905828007803"
"4800","24","24","24","0.000027019244701380168","0.000027019244701380168","0.000027019244701380168","49","49","49","0.000027019244701380168","0.000027019244701380168","0.000027019244701380168","24","24","24","0.00002611434049781854","0.00002611434049781854","0.00002611434049781854","49","49","49","0.00002611434049781854","0.00002611434049781854","0.00002611434049781854","49","49","49","0.00002611434049781854","0.00002611434049781854","0.00002611434049781854","24","24","24","0.00002611434049781854","0.00002611434049781854","0.00002611434049781854"
"5000","25","25","25","0.00002513810912026662","0.00002513810912026662","0.00002513810912026662","51","51","51","0.00002513810912026662","0.00002513810912026662","0.00002513810912026662","25","25","25","0.000024288001292508925","0.000024288001292508925","0.000024288001292508925","51","51","51","0.000024288001292508925","0.000024288001292508925","0.000024288001292508925","51","51","51","0.000024288001292508925","0.000024288001292508925","0.000024288001292508925","25","25","25","0.000024288001292508925","0.000024288001292508925","0.000024288001292508925"
"5200","26","26","26","0.000023273549340736575","0.000023273549340736575","0.000023273549340736575","53","53","53","0.000023273549340736575","0.000023273549340736575","0.000023273549340736575","26","26","26","0.00002248304851087834","0.00002248304851087834","0.00002248304851087834","53","53","53","0.00002248304851087834","0.00002248304851087834","0.00002248304851087834","53","53","53","0.00002248304851087834","0.00002248304851087834","0.00002248304851087834","26","26","26","0.00002248304851087834","0.00002248304851087834","0.00002248304851087834"
"5400","27","27","27","0.000021438650883891432","0.000021438650883891432","0.000021438650883891432","55","55","55","0.000021438650883891432","0.000021438650883891432","0.000021438650883891432","27","27","27","0.00002071150005468328","0.00002071150005468328","0.00002071150005468328","55","55","55","0.00002071150005468328","0.00002071150005468328","0.00002071150005468328","55","55","55","0.00002071150005468328","0.00002071150005468328","0.00002071150005468328","27","27","27","0.00002071150005468328","0.00002071150005468328","0.00002071150005468328"
"5600","28","28","28","0.000019646291107024687","0.000019646291107024687","0.000019646291107024687","57","57","57","0.000019646291107024687","0.000019646291107024687","0.000019646291107024687","28","28","28","0.000018985151409944287","0.000018985151409944287","0.000018985151409944287","57","57","57","0.000018985151409944287","0.000018985151409944287","0.000018985151409944287","57","57","57","0.000018985151409944287","0.000018985151409944287","0.000018985151409944287","28","28","28","0.000018985151409944287","0.000018985151409944287","0.000018985151409944287"
"5800","29","29","29","0.000017909048830048153","0.000017909048830048153","0.000017909048830048153","59","59","59","0.000017909048830048153","0.000017909048830048153","0.000017909048830048153","29","29","29","0.000017315497109161607","0.000017315497109161607","0.000017315497109161607","59","59","59","0.000017315497109161607","0.000017315497109161607","0.000017315497109161607","59","59","59","0.000017315497109161607","0.000017315497109161607","0.000017315497109161607","29","29","29","0.000017315497109161607","0.000017315497109161607","0.000017315497109161607"
"6000","30","30","30","0.0000162391160570602","0.0000162391160570602","0.0000162391160570602","61","61","61","0.0000162391160570602","0.0000162391160570602","0.0000162391160570602","30","30","30","0.00001571365419736733","0.00001571365419736733","0.00001571365419736733","61","61","61","0.00001571365419736733","0.00001571365419736733","0.00001571365419736733","61","61","61","0.00001571365419736733","0.00001571365419736733","0.00001571365419736733","30","30","30","0.00001571365419736733","0.00001571365419736733","0.00001571365419736733"
"6200","31","31","31","0.0000146482124125957","0.0000146482124125957","0.0000146482124125957","63","63","63","0.0000146482124125957","0.0000146482124125957","0.0000146482124125957","31","31","31","0.000014190288211598831","0.000014190288211598831","0.000014190288211598831","63","63","63","0.000014190288211598831","0.000014190288211598831","0.000014190288211598831","63","63","63","0.000014190288211598831","0.000014190288211598831","0.000014190288211598831","31","31","31","0.000014190288211598831","0.000014190288211598831","0.000014190288211598831"
