"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - throughput","raschka_cpu_Seed45887 - throughput__MIN","raschka_cpu_Seed45887 - throughput__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - throughput","karpathy_cpu_Seed45887 - throughput__MIN","karpathy_cpu_Seed45887 - throughput__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - throughput","raschka_cpu_Seed5678 - throughput__MIN","raschka_cpu_Seed5678 - throughput__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - throughput","karpathy_cpu_Seed5678 - throughput__MIN","karpathy_cpu_Seed5678 - throughput__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - throughput","karpathy_cpu_Seed123 - throughput__MIN","karpathy_cpu_Seed123 - throughput__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - throughput","raschka_cpu_Seed123 - throughput__MIN","raschka_cpu_Seed123 - throughput__MAX"
"4600","23","23","23","260.7641030173585","260.7641030173585","260.7641030173585","47","47","47","141.4876672134655","141.4876672134655","141.4876672134655","23","23","23","259.1063608350137","259.1063608350137","259.1063608350137","47","47","47","143.92545496037243","143.92545496037243","143.92545496037243","47","47","47","137.52099739888018","137.52099739888018","137.52099739888018","23","23","23","271.65947502209","271.65947502209","271.65947502209"
"4800","24","24","24","262.1765619928757","262.1765619928757","262.1765619928757","49","49","49","139.4334112169823","139.4334112169823","139.4334112169823","24","24","24","269.9986761897434","269.9986761897434","269.9986761897434","49","49","49","141.59835881801757","141.59835881801757","141.59835881801757","49","49","49","138.16903867234467","138.16903867234467","138.16903867234467","24","24","24","258.24720014939345","258.24720014939345","258.24720014939345"
"5000","25","25","25","260.5670619538381","260.5670619538381","260.5670619538381","51","51","51","140.81285193440465","140.81285193440465","140.81285193440465","25","25","25","259.2835227675727","259.2835227675727","259.2835227675727","51","51","51","140.21271772985034","140.21271772985034","140.21271772985034","51","51","51","137.99071985262543","137.99071985262543","137.99071985262543","25","25","25","272.4557821851569","272.4557821851569","272.4557821851569"
"5200","26","26","26","247.73116159603646","247.73116159603646","247.73116159603646","53","53","53","142.0146636629868","142.0146636629868","142.0146636629868","26","26","26","263.90760621798205","263.90760621798205","263.90760621798205","53","53","53","139.53206164999008","139.53206164999008","139.53206164999008","53","53","53","139.77134132629726","139.77134132629726","139.77134132629726","26","26","26","268.6853714768647","268.6853714768647","268.6853714768647"
"5400","27","27","27","267.83593760269224","267.83593760269224","267.83593760269224","55","55","55","140.81322819045903","140.81322819045903","140.81322819045903","27","27","27","252.5992045885362","252.5992045885362","252.5992045885362","55","55","55","142.21496430691778","142.21496430691778","142.21496430691778","55","55","55","138.64683807021953","138.64683807021953","138.64683807021953","27","27","27","275.5553281836684","275.5553281836684","275.5553281836684"
"5600","28","28","28","270.5919712544532","270.5919712544532","270.5919712544532","57","57","57","138.96653589152774","138.96653589152774","138.96653589152774","28","28","28","258.3761852373807","258.3761852373807","258.3761852373807","57","57","57","137.83026351389492","137.83026351389492","137.83026351389492","57","57","57","139.95895818124833","139.95895818124833","139.95895818124833","28","28","28","267.83064933817116","267.83064933817116","267.83064933817116"
"5800","29","29","29","263.1236437530854","263.1236437530854","263.1236437530854","59","59","59","140.1682559267963","140.1682559267963","140.1682559267963","29","29","29","248.5403019125076","248.5403019125076","248.5403019125076","59","59","59","142.0453500844275","142.0453500844275","142.0453500844275","59","59","59","139.20111711772736","139.20111711772736","139.20111711772736","29","29","29","276.2142317545439","276.2142317545439","276.2142317545439"
"6000","30","30","30","253.74775688489947","253.74775688489947","253.74775688489947","61","61","61","138.4735681526552","138.4735681526552","138.4735681526552","30","30","30","262.26052947090017","262.26052947090017","262.26052947090017","61","61","61","139.25489297839547","139.25489297839547","139.25489297839547","61","61","61","138.91331044809408","138.91331044809408","138.91331044809408","30","30","30","278.2120540896389","278.2120540896389","278.2120540896389"
"6200","31","31","31","263.52902653044","263.52902653044","263.52902653044","63","63","63","140.76258328345565","140.76258328345565","140.76258328345565","31","31","31","253.00442819392626","253.00442819392626","253.00442819392626","63","63","63","141.7597685353959","141.7597685353959","141.7597685353959","63","63","63","140.57328795896342","140.57328795896342","140.57328795896342","31","31","31","253.98967538236616","253.98967538236616","253.98967538236616"
"6400","32","32","32","267.58482169083294","267.58482169083294","267.58482169083294","65","65","65","140.47804424290752","140.47804424290752","140.47804424290752","32","32","32","256.2360018371514","256.2360018371514","256.2360018371514","65","65","65","140.617003494973","140.617003494973","140.617003494973","65","65","65","138.6179266618443","138.6179266618443","138.6179266618443","32","32","32","262.88770131380966","262.88770131380966","262.88770131380966"
