"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - grad_norm","raschka_gpu_45887 - grad_norm__MIN","raschka_gpu_45887 - grad_norm__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - grad_norm","raschka_gpu_5678 - grad_norm__MIN","raschka_gpu_5678 - grad_norm__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - grad_norm","raschka_gpu_123 - grad_norm__MIN","raschka_gpu_123 - grad_norm__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - grad_norm","karpathy_gpu_45887 - grad_norm__MIN","karpathy_gpu_45887 - grad_norm__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - grad_norm","karpathy_gpu_5678 - grad_norm__MIN","karpathy_gpu_5678 - grad_norm__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - grad_norm","karpathy_gpu_123 - grad_norm__MIN","karpathy_gpu_123 - grad_norm__MAX"
"5600","28","28","28","2.010043144226074","2.010043144226074","2.010043144226074","28","28","28","2.047297954559326","2.047297954559326","2.047297954559326","28","28","28","1.8550949096679688","1.8550949096679688","1.8550949096679688","57","57","57","1.1515506505966187","1.1515506505966187","1.1515506505966187","57","57","57","1.1717005968093872","1.1717005968093872","1.1717005968093872","57","57","57","1.1810065507888794","1.1810065507888794","1.1810065507888794"
"5800","29","29","29","1.8604177236557007","1.8604177236557007","1.8604177236557007","29","29","29","1.8273414373397827","1.8273414373397827","1.8273414373397827","29","29","29","1.8507291078567505","1.8507291078567505","1.8507291078567505","59","59","59","1.116729974746704","1.116729974746704","1.116729974746704","59","59","59","1.120020866394043","1.120020866394043","1.120020866394043","59","59","59","1.1194733381271362","1.1194733381271362","1.1194733381271362"
"6000","30","30","30","1.9586725234985352","1.9586725234985352","1.9586725234985352","30","30","30","2.0421717166900635","2.0421717166900635","2.0421717166900635","30","30","30","1.846747875213623","1.846747875213623","1.846747875213623","61","61","61","1.081158995628357","1.081158995628357","1.081158995628357","61","61","61","1.0826075077056885","1.0826075077056885","1.0826075077056885","61","61","61","1.0852242708206177","1.0852242708206177","1.0852242708206177"
"6200","31","31","31","2.05576753616333","2.05576753616333","2.05576753616333","31","31","31","2.0036137104034424","2.0036137104034424","2.0036137104034424","31","31","31","2.0130274295806885","2.0130274295806885","2.0130274295806885","63","63","63","1.0716049671173096","1.0716049671173096","1.0716049671173096","63","63","63","1.0792436599731445","1.0792436599731445","1.0792436599731445","63","63","63","1.0772686004638672","1.0772686004638672","1.0772686004638672"
"6400","32","32","32","1.8246996402740479","1.8246996402740479","1.8246996402740479","32","32","32","1.9350395202636719","1.9350395202636719","1.9350395202636719","32","32","32","1.8565162420272827","1.8565162420272827","1.8565162420272827","65","65","65","1.1864515542984009","1.1864515542984009","1.1864515542984009","65","65","65","1.181937575340271","1.181937575340271","1.181937575340271","65","65","65","1.212532639503479","1.212532639503479","1.212532639503479"
"6600","33","33","33","1.7839027643203735","1.7839027643203735","1.7839027643203735","33","33","33","1.6994702816009521","1.6994702816009521","1.6994702816009521","33","33","33","1.7882477045059204","1.7882477045059204","1.7882477045059204","67","67","67","1.1694413423538208","1.1694413423538208","1.1694413423538208","67","67","67","1.176941990852356","1.176941990852356","1.176941990852356","67","67","67","1.1682716608047485","1.1682716608047485","1.1682716608047485"
"6800","34","34","34","1.880990982055664","1.880990982055664","1.880990982055664","34","34","34","1.9592751264572144","1.9592751264572144","1.9592751264572144","34","34","34","1.886521577835083","1.886521577835083","1.886521577835083","69","69","69","1.2184513807296753","1.2184513807296753","1.2184513807296753","69","69","69","1.2722938060760498","1.2722938060760498","1.2722938060760498","69","69","69","1.2768514156341553","1.2768514156341553","1.2768514156341553"
"7000","35","35","35","1.7483493089675903","1.7483493089675903","1.7483493089675903","35","35","35","1.8320010900497437","1.8320010900497437","1.8320010900497437","35","35","35","1.6330716609954834","1.6330716609954834","1.6330716609954834","71","71","71","1.182370901107788","1.182370901107788","1.182370901107788","71","71","71","1.1952500343322754","1.1952500343322754","1.1952500343322754","71","71","71","1.195049524307251","1.195049524307251","1.195049524307251"
"7200","36","36","36","1.6781201362609863","1.6781201362609863","1.6781201362609863","36","36","36","2.1410295963287354","2.1410295963287354","2.1410295963287354","36","36","36","1.7075564861297607","1.7075564861297607","1.7075564861297607","73","73","73","1.1456470489501953","1.1456470489501953","1.1456470489501953","73","73","73","1.145987868309021","1.145987868309021","1.145987868309021","73","73","73","1.1350160837173462","1.1350160837173462","1.1350160837173462"
"7400","37","37","37","1.5861812829971313","1.5861812829971313","1.5861812829971313","37","37","37","2.148360252380371","2.148360252380371","2.148360252380371","37","37","37","1.910306453704834","1.910306453704834","1.910306453704834","75","75","75","1.156805157661438","1.156805157661438","1.156805157661438","75","75","75","1.1628122329711914","1.1628122329711914","1.1628122329711914","75","75","75","1.1658934354782104","1.1658934354782104","1.1658934354782104"
"7600","38","38","38","1.7937015295028687","1.7937015295028687","1.7937015295028687","38","38","38","1.7287825345993042","1.7287825345993042","1.7287825345993042","38","38","38","1.913343906402588","1.913343906402588","1.913343906402588","77","77","77","1.3075752258300781","1.3075752258300781","1.3075752258300781","77","77","77","1.2789409160614014","1.2789409160614014","1.2789409160614014","77","77","77","1.2720363140106201","1.2720363140106201","1.2720363140106201"
"7800","39","39","39","1.7606004476547241","1.7606004476547241","1.7606004476547241","39","39","39","1.8545949459075928","1.8545949459075928","1.8545949459075928","39","39","39","1.7424606084823608","1.7424606084823608","1.7424606084823608","79","79","79","1.1240274906158447","1.1240274906158447","1.1240274906158447","79","79","79","1.1294379234313965","1.1294379234313965","1.1294379234313965","79","79","79","1.127548098564148","1.127548098564148","1.127548098564148"
"8000","40","40","40","2.297912359237671","2.297912359237671","2.297912359237671","40","40","40","1.6985158920288086","1.6985158920288086","1.6985158920288086","40","40","40","1.8884838819503784","1.8884838819503784","1.8884838819503784","81","81","81","1.2724273204803467","1.2724273204803467","1.2724273204803467","81","81","81","1.2566306591033936","1.2566306591033936","1.2566306591033936","81","81","81","1.2629406452178955","1.2629406452178955","1.2629406452178955"
"8200","41","41","41","1.962888479232788","1.962888479232788","1.962888479232788","41","41","41","1.7243189811706543","1.7243189811706543","1.7243189811706543","41","41","41","1.6628233194351196","1.6628233194351196","1.6628233194351196","83","83","83","1.2151291370391846","1.2151291370391846","1.2151291370391846","83","83","83","1.2117106914520264","1.2117106914520264","1.2117106914520264","83","83","83","1.205706000328064","1.205706000328064","1.205706000328064"
"8400","42","42","42","1.8140395879745483","1.8140395879745483","1.8140395879745483","42","42","42","1.9481396675109863","1.9481396675109863","1.9481396675109863","42","42","42","1.9137002229690552","1.9137002229690552","1.9137002229690552","85","85","85","1.1579229831695557","1.1579229831695557","1.1579229831695557","85","85","85","1.154616355895996","1.154616355895996","1.154616355895996","85","85","85","1.1590756177902222","1.1590756177902222","1.1590756177902222"
"8497","","","","","","","","","","","","","","","","","","","87","87","87","1.1573777198791504","1.1573777198791504","1.1573777198791504","87","87","87","1.1556445360183716","1.1556445360183716","1.1556445360183716","87","87","87","1.1527715921401978","1.1527715921401978","1.1527715921401978"
