"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - train_perplexity","raschka_gpu_45887 - train_perplexity__MIN","raschka_gpu_45887 - train_perplexity__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - train_perplexity","raschka_gpu_5678 - train_perplexity__MIN","raschka_gpu_5678 - train_perplexity__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - train_perplexity","raschka_gpu_123 - train_perplexity__MIN","raschka_gpu_123 - train_perplexity__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - train_perplexity","karpathy_gpu_45887 - train_perplexity__MIN","karpathy_gpu_45887 - train_perplexity__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - train_perplexity","karpathy_gpu_5678 - train_perplexity__MIN","karpathy_gpu_5678 - train_perplexity__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - train_perplexity","karpathy_gpu_123 - train_perplexity__MIN","karpathy_gpu_123 - train_perplexity__MAX"
"4600","23","23","23","4.582216262817383","4.582216262817383","4.582216262817383","23","23","23","4.685165882110596","4.685165882110596","4.685165882110596","23","23","23","4.036340236663818","4.036340236663818","4.036340236663818","47","47","47","3.9324562549591064","3.9324562549591064","3.9324562549591064","47","47","47","3.9073374271392822","3.9073374271392822","3.9073374271392822","47","47","47","3.9060118198394775","3.9060118198394775","3.9060118198394775"
"4800","24","24","24","4.575311183929443","4.575311183929443","4.575311183929443","24","24","24","4.367738723754883","4.367738723754883","4.367738723754883","24","24","24","3.959717035293579","3.959717035293579","3.959717035293579","49","49","49","3.7638955116271973","3.7638955116271973","3.7638955116271973","49","49","49","3.744154930114746","3.744154930114746","3.744154930114746","49","49","49","3.749910354614258","3.749910354614258","3.749910354614258"
"5000","25","25","25","4.324814319610596","4.324814319610596","4.324814319610596","25","25","25","4.107665538787842","4.107665538787842","4.107665538787842","25","25","25","4.412147521972656","4.412147521972656","4.412147521972656","51","51","51","3.934183120727539","3.934183120727539","3.934183120727539","51","51","51","3.922368288040161","3.922368288040161","3.922368288040161","51","51","51","3.926116466522217","3.926116466522217","3.926116466522217"
"5200","26","26","26","4.139998435974121","4.139998435974121","4.139998435974121","26","26","26","4.145333290100098","4.145333290100098","4.145333290100098","26","26","26","4.494555950164795","4.494555950164795","4.494555950164795","53","53","53","3.6782357692718506","3.6782357692718506","3.6782357692718506","53","53","53","3.6711931228637695","3.6711931228637695","3.6711931228637695","53","53","53","3.670043706893921","3.670043706893921","3.670043706893921"
"5400","27","27","27","4.080334663391113","4.080334663391113","4.080334663391113","27","27","27","4.181372165679932","4.181372165679932","4.181372165679932","27","27","27","3.905956983566284","3.905956983566284","3.905956983566284","55","55","55","3.7376506328582764","3.7376506328582764","3.7376506328582764","55","55","55","3.7168374061584473","3.7168374061584473","3.7168374061584473","55","55","55","3.7220606803894043","3.7220606803894043","3.7220606803894043"
"5600","28","28","28","4.469367027282715","4.469367027282715","4.469367027282715","28","28","28","4.2952561378479","4.2952561378479","4.2952561378479","28","28","28","4.042179107666016","4.042179107666016","4.042179107666016","57","57","57","3.76662540435791","3.76662540435791","3.76662540435791","57","57","57","3.776791572570801","3.776791572570801","3.776791572570801","57","57","57","3.769840955734253","3.769840955734253","3.769840955734253"
"5800","29","29","29","4.093493461608887","4.093493461608887","4.093493461608887","29","29","29","4.214962482452393","4.214962482452393","4.214962482452393","29","29","29","4.145705699920654","4.145705699920654","4.145705699920654","59","59","59","3.368598699569702","3.368598699569702","3.368598699569702","59","59","59","3.3639140129089355","3.3639140129089355","3.3639140129089355","59","59","59","3.367769718170166","3.367769718170166","3.367769718170166"
"6000","30","30","30","4.28465461730957","4.28465461730957","4.28465461730957","30","30","30","4.149264812469482","4.149264812469482","4.149264812469482","30","30","30","3.8747262954711914","3.8747262954711914","3.8747262954711914","61","61","61","3.632431983947754","3.632431983947754","3.632431983947754","61","61","61","3.6169285774230957","3.6169285774230957","3.6169285774230957","61","61","61","3.618488073348999","3.618488073348999","3.618488073348999"
"6200","31","31","31","4.1465935707092285","4.1465935707092285","4.1465935707092285","31","31","31","4.192526340484619","4.192526340484619","4.192526340484619","31","31","31","3.9340837001800537","3.9340837001800537","3.9340837001800537","63","63","63","3.5649008750915527","3.5649008750915527","3.5649008750915527","63","63","63","3.551274538040161","3.551274538040161","3.551274538040161","63","63","63","3.5535926818847656","3.5535926818847656","3.5535926818847656"
"6400","32","32","32","3.9266116619110107","3.9266116619110107","3.9266116619110107","32","32","32","4.094898223876953","4.094898223876953","4.094898223876953","32","32","32","4.010031700134277","4.010031700134277","4.010031700134277","65","65","65","3.318463087081909","3.318463087081909","3.318463087081909","65","65","65","3.308979034423828","3.308979034423828","3.308979034423828","65","65","65","3.306020975112915","3.306020975112915","3.306020975112915"
"6600","33","33","33","4.071946144104004","4.071946144104004","4.071946144104004","33","33","33","4.222790718078613","4.222790718078613","4.222790718078613","33","33","33","4.067705154418945","4.067705154418945","4.067705154418945","67","67","67","3.404907703399658","3.404907703399658","3.404907703399658","67","67","67","3.3969500064849854","3.3969500064849854","3.3969500064849854","67","67","67","3.3992395401000977","3.3992395401000977","3.3992395401000977"
"6800","34","34","34","4.091344833374023","4.091344833374023","4.091344833374023","34","34","34","3.988128662109375","3.988128662109375","3.988128662109375","34","34","34","4.118614196777344","4.118614196777344","4.118614196777344","69","69","69","3.328859567642212","3.328859567642212","3.328859567642212","69","69","69","3.3150312900543213","3.3150312900543213","3.3150312900543213","69","69","69","3.322073221206665","3.322073221206665","3.322073221206665"
"7000","35","35","35","4.39823055267334","4.39823055267334","4.39823055267334","35","35","35","4.042661190032959","4.042661190032959","4.042661190032959","35","35","35","4.000219821929932","4.000219821929932","4.000219821929932","71","71","71","3.0845351219177246","3.0845351219177246","3.0845351219177246","71","71","71","3.068157911300659","3.068157911300659","3.068157911300659","71","71","71","3.0720043182373047","3.0720043182373047","3.0720043182373047"
"7200","36","36","36","3.9683167934417725","3.9683167934417725","3.9683167934417725","36","36","36","3.851950168609619","3.851950168609619","3.851950168609619","36","36","36","3.9909861087799072","3.9909861087799072","3.9909861087799072","73","73","73","3.4007699489593506","3.4007699489593506","3.4007699489593506","73","73","73","3.4057023525238037","3.4057023525238037","3.4057023525238037","73","73","73","3.403798818588257","3.403798818588257","3.403798818588257"
"7400","37","37","37","3.9427952766418457","3.9427952766418457","3.9427952766418457","37","37","37","4.096388816833496","4.096388816833496","4.096388816833496","37","37","37","3.863048553466797","3.863048553466797","3.863048553466797","75","75","75","3.475968599319458","3.475968599319458","3.475968599319458","75","75","75","3.4809741973876953","3.4809741973876953","3.4809741973876953","75","75","75","3.476663112640381","3.476663112640381","3.476663112640381"
"7600","38","38","38","4.000422954559326","4.000422954559326","4.000422954559326","38","38","38","4.074199676513672","4.074199676513672","4.074199676513672","38","38","38","3.931007146835327","3.931007146835327","3.931007146835327","77","77","77","3.135061025619507","3.135061025619507","3.135061025619507","77","77","77","3.115008592605591","3.115008592605591","3.115008592605591","77","77","77","3.118405342102051","3.118405342102051","3.118405342102051"
"7800","39","39","39","3.9292478561401367","3.9292478561401367","3.9292478561401367","39","39","39","3.869547128677368","3.869547128677368","3.869547128677368","39","39","39","4.121088027954102","4.121088027954102","4.121088027954102","79","79","79","3.4133639335632324","3.4133639335632324","3.4133639335632324","79","79","79","3.3989713191986084","3.3989713191986084","3.3989713191986084","79","79","79","3.396894931793213","3.396894931793213","3.396894931793213"
"8000","40","40","40","4.052361488342285","4.052361488342285","4.052361488342285","40","40","40","4.197417736053467","4.197417736053467","4.197417736053467","40","40","40","4.01840877532959","4.01840877532959","4.01840877532959","81","81","81","3.2828333377838135","3.2828333377838135","3.2828333377838135","81","81","81","3.2840068340301514","3.2840068340301514","3.2840068340301514","81","81","81","3.290411949157715","3.290411949157715","3.290411949157715"
"8200","41","41","41","3.947554349899292","3.947554349899292","3.947554349899292","41","41","41","3.9171297550201416","3.9171297550201416","3.9171297550201416","41","41","41","3.8762083053588867","3.8762083053588867","3.8762083053588867","83","83","83","3.3096439838409424","3.3096439838409424","3.3096439838409424","83","83","83","3.2995245456695557","3.2995245456695557","3.2995245456695557","83","83","83","3.297846555709839","3.297846555709839","3.297846555709839"
"8400","42","42","42","4.048799991607666","4.048799991607666","4.048799991607666","42","42","42","4.093131065368652","4.093131065368652","4.093131065368652","42","42","42","3.7585670948028564","3.7585670948028564","3.7585670948028564","85","85","85","3.222714424133301","3.222714424133301","3.222714424133301","85","85","85","3.2134876251220703","3.2134876251220703","3.2134876251220703","85","85","85","3.2137811183929443","3.2137811183929443","3.2137811183929443"
"8497","","","","","","","","","","","","","","","","","","","87","87","87","3.4059500694274902","3.4059500694274902","3.4059500694274902","87","87","87","3.3935494422912598","3.3935494422912598","3.3935494422912598","87","87","87","3.397188186645508","3.397188186645508","3.397188186645508"
