"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - train_accuracy","raschka_gpu_45887 - train_accuracy__MIN","raschka_gpu_45887 - train_accuracy__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - train_accuracy","raschka_gpu_5678 - train_accuracy__MIN","raschka_gpu_5678 - train_accuracy__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - train_accuracy","raschka_gpu_123 - train_accuracy__MIN","raschka_gpu_123 - train_accuracy__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - train_accuracy","karpathy_gpu_45887 - train_accuracy__MIN","karpathy_gpu_45887 - train_accuracy__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - train_accuracy","karpathy_gpu_5678 - train_accuracy__MIN","karpathy_gpu_5678 - train_accuracy__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - train_accuracy","karpathy_gpu_123 - train_accuracy__MIN","karpathy_gpu_123 - train_accuracy__MAX"
"4600","23","23","23","0.6200993657112122","0.6200993657112122","0.6200993657112122","23","23","23","0.6047869324684143","0.6047869324684143","0.6047869324684143","23","23","23","0.6087212562561035","0.6087212562561035","0.6087212562561035","47","47","47","0.6402587890625","0.6402587890625","0.6402587890625","47","47","47","0.642578125","0.642578125","0.642578125","47","47","47","0.642578125","0.642578125","0.642578125"
"4800","24","24","24","0.6265560388565063","0.6265560388565063","0.6265560388565063","24","24","24","0.6256579160690308","0.6256579160690308","0.6256579160690308","24","24","24","0.6215000152587891","0.6215000152587891","0.6215000152587891","49","49","49","0.6473388671875","0.6473388671875","0.6473388671875","49","49","49","0.64892578125","0.64892578125","0.64892578125","49","49","49","0.6492919921875","0.6492919921875","0.6492919921875"
"5000","25","25","25","0.5863905549049377","0.5863905549049377","0.5863905549049377","25","25","25","0.6193877458572388","0.6193877458572388","0.6193877458572388","25","25","25","0.6154661178588867","0.6154661178588867","0.6154661178588867","51","51","51","0.6383056640625","0.6383056640625","0.6383056640625","51","51","51","0.638671875","0.638671875","0.638671875","51","51","51","0.6375732421875","0.6375732421875","0.6375732421875"
"5200","26","26","26","0.6383090019226074","0.6383090019226074","0.6383090019226074","26","26","26","0.6146742105484009","0.6146742105484009","0.6146742105484009","26","26","26","0.6348448395729065","0.6348448395729065","0.6348448395729065","53","53","53","0.658935546875","0.658935546875","0.658935546875","53","53","53","0.6610107421875","0.6610107421875","0.6610107421875","53","53","53","0.6612548828125","0.6612548828125","0.6612548828125"
"5400","27","27","27","0.5916754603385925","0.5916754603385925","0.5916754603385925","27","27","27","0.6507572531700134","0.6507572531700134","0.6507572531700134","27","27","27","0.6033857464790344","0.6033857464790344","0.6033857464790344","55","55","55","0.652099609375","0.652099609375","0.652099609375","55","55","55","0.6527099609375","0.6527099609375","0.6527099609375","55","55","55","0.65380859375","0.65380859375","0.65380859375"
"5600","28","28","28","0.5857605338096619","0.5857605338096619","0.5857605338096619","28","28","28","0.614149808883667","0.614149808883667","0.614149808883667","28","28","28","0.6005509495735168","0.6005509495735168","0.6005509495735168","57","57","57","0.638671875","0.638671875","0.638671875","57","57","57","0.63818359375","0.63818359375","0.63818359375","57","57","57","0.6383056640625","0.6383056640625","0.6383056640625"
"5800","29","29","29","0.6136733293533325","0.6136733293533325","0.6136733293533325","29","29","29","0.6315158605575562","0.6315158605575562","0.6315158605575562","29","29","29","0.6187613010406494","0.6187613010406494","0.6187613010406494","59","59","59","0.679443359375","0.679443359375","0.679443359375","59","59","59","0.679931640625","0.679931640625","0.679931640625","59","59","59","0.6778564453125","0.6778564453125","0.6778564453125"
"6000","30","30","30","0.6141055226325989","0.6141055226325989","0.6141055226325989","30","30","30","0.5730336904525757","0.5730336904525757","0.5730336904525757","30","30","30","0.5903547406196594","0.5903547406196594","0.5903547406196594","61","61","61","0.657958984375","0.657958984375","0.657958984375","61","61","61","0.658447265625","0.658447265625","0.658447265625","61","61","61","0.6588134765625","0.6588134765625","0.6588134765625"
"6200","31","31","31","0.6229867935180664","0.6229867935180664","0.6229867935180664","31","31","31","0.6020910143852234","0.6020910143852234","0.6020910143852234","31","31","31","0.6238030195236206","0.6238030195236206","0.6238030195236206","63","63","63","0.65576171875","0.65576171875","0.65576171875","63","63","63","0.656982421875","0.656982421875","0.656982421875","63","63","63","0.6563720703125","0.6563720703125","0.6563720703125"
"6400","32","32","32","0.6363022923469543","0.6363022923469543","0.6363022923469543","32","32","32","0.653598964214325","0.653598964214325","0.653598964214325","32","32","32","0.6108949184417725","0.6108949184417725","0.6108949184417725","65","65","65","0.677001953125","0.677001953125","0.677001953125","65","65","65","0.6781005859375","0.6781005859375","0.6781005859375","65","65","65","0.6787109375","0.6787109375","0.6787109375"
"6600","33","33","33","0.6187374591827393","0.6187374591827393","0.6187374591827393","33","33","33","0.6215195655822754","0.6215195655822754","0.6215195655822754","33","33","33","0.6280074119567871","0.6280074119567871","0.6280074119567871","67","67","67","0.6707763671875","0.6707763671875","0.6707763671875","67","67","67","0.6715087890625","0.6715087890625","0.6715087890625","67","67","67","0.671875","0.671875","0.671875"
"6800","34","34","34","0.6464056372642517","0.6464056372642517","0.6464056372642517","34","34","34","0.6181150674819946","0.6181150674819946","0.6181150674819946","34","34","34","0.6305170059204102","0.6305170059204102","0.6305170059204102","69","69","69","0.68603515625","0.68603515625","0.68603515625","69","69","69","0.686767578125","0.686767578125","0.686767578125","69","69","69","0.685791015625","0.685791015625","0.685791015625"
"7000","35","35","35","0.6313320994377136","0.6313320994377136","0.6313320994377136","35","35","35","0.654211163520813","0.654211163520813","0.654211163520813","35","35","35","0.6570706963539124","0.6570706963539124","0.6570706963539124","71","71","71","0.691162109375","0.691162109375","0.691162109375","71","71","71","0.695068359375","0.695068359375","0.695068359375","71","71","71","0.6923828125","0.6923828125","0.6923828125"
"7200","36","36","36","0.6750582456588745","0.6750582456588745","0.6750582456588745","36","36","36","0.5516055226325989","0.5516055226325989","0.5516055226325989","36","36","36","0.6422680616378784","0.6422680616378784","0.6422680616378784","73","73","73","0.6761474609375","0.6761474609375","0.6761474609375","73","73","73","0.6739501953125","0.6739501953125","0.6739501953125","73","73","73","0.6754150390625","0.6754150390625","0.6754150390625"
"7400","37","37","37","0.6293264031410217","0.6293264031410217","0.6293264031410217","37","37","37","0.6073486804962158","0.6073486804962158","0.6073486804962158","37","37","37","0.6420873403549194","0.6420873403549194","0.6420873403549194","75","75","75","0.666015625","0.666015625","0.666015625","75","75","75","0.6656494140625","0.6656494140625","0.6656494140625","75","75","75","0.66650390625","0.66650390625","0.66650390625"
"7600","38","38","38","0.6347777247428894","0.6347777247428894","0.6347777247428894","38","38","38","0.6268742680549622","0.6268742680549622","0.6268742680549622","38","38","38","0.5948067903518677","0.5948067903518677","0.5948067903518677","77","77","77","0.6929931640625","0.6929931640625","0.6929931640625","77","77","77","0.6947021484375","0.6947021484375","0.6947021484375","77","77","77","0.6947021484375","0.6947021484375","0.6947021484375"
"7800","39","39","39","0.6637029051780701","0.6637029051780701","0.6637029051780701","39","39","39","0.6218767166137695","0.6218767166137695","0.6218767166137695","39","39","39","0.6284722089767456","0.6284722089767456","0.6284722089767456","79","79","79","0.682373046875","0.682373046875","0.682373046875","79","79","79","0.68408203125","0.68408203125","0.68408203125","79","79","79","0.6815185546875","0.6815185546875","0.6815185546875"
"8000","40","40","40","0.58273845911026","0.58273845911026","0.58273845911026","40","40","40","0.6308153867721558","0.6308153867721558","0.6308153867721558","40","40","40","0.647871732711792","0.647871732711792","0.647871732711792","81","81","81","0.676025390625","0.676025390625","0.676025390625","81","81","81","0.6754150390625","0.6754150390625","0.6754150390625","81","81","81","0.676513671875","0.676513671875","0.676513671875"
"8200","41","41","41","0.6049841046333313","0.6049841046333313","0.6049841046333313","41","41","41","0.650295615196228","0.650295615196228","0.650295615196228","41","41","41","0.6093911528587341","0.6093911528587341","0.6093911528587341","83","83","83","0.67626953125","0.67626953125","0.67626953125","83","83","83","0.67724609375","0.67724609375","0.67724609375","83","83","83","0.6776123046875","0.6776123046875","0.6776123046875"
"8400","42","42","42","0.6201264262199402","0.6201264262199402","0.6201264262199402","42","42","42","0.6298701167106628","0.6298701167106628","0.6298701167106628","42","42","42","0.6405307650566101","0.6405307650566101","0.6405307650566101","85","85","85","0.685791015625","0.685791015625","0.685791015625","85","85","85","0.6873779296875","0.6873779296875","0.6873779296875","85","85","85","0.6871337890625","0.6871337890625","0.6871337890625"
"8497","","","","","","","","","","","","","","","","","","","87","87","87","0.671630859375","0.671630859375","0.671630859375","87","87","87","0.672119140625","0.672119140625","0.672119140625","87","87","87","0.67333984375","0.67333984375","0.67333984375"
