"Relative Time (Process)","raschka_gpu_45887 - system/cpu","raschka_gpu_45887 - system/cpu__MIN","raschka_gpu_45887 - system/cpu__MAX","raschka_gpu_5678 - system/cpu","raschka_gpu_5678 - system/cpu__MIN","raschka_gpu_5678 - system/cpu__MAX","raschka_gpu_123 - system/cpu","raschka_gpu_123 - system/cpu__MIN","raschka_gpu_123 - system/cpu__MAX","karpathy_gpu_45887 - system/cpu","karpathy_gpu_45887 - system/cpu__MIN","karpathy_gpu_45887 - system/cpu__MAX","karpathy_gpu_5678 - system/cpu","karpathy_gpu_5678 - system/cpu__MIN","karpathy_gpu_5678 - system/cpu__MAX","karpathy_gpu_123 - system/cpu","karpathy_gpu_123 - system/cpu__MIN","karpathy_gpu_123 - system/cpu__MAX"
"315.308473792","","","","","","","","","","","","","4.92463886275978","4.92463886275978","4.92463886275978","","",""
"315.332737718","","","","","","","3.429916350494265","3.429916350494265","3.429916350494265","","","","","","","","",""
"315.350889551","","","","3.447864085115175","3.447864085115175","3.447864085115175","","","","","","","","","","","",""
"315.566761687","","","","","","","","","","","","","","","","3.884565830687445","3.884565830687445","3.884565830687445"
"330.286163207","3.426493260778322","3.426493260778322","3.426493260778322","","","","","","","","","","","","","","",""
"330.286300046","","","","","","","","","","4.800949272825948","4.800949272825948","4.800949272825948","","","","","",""
"330.30876362","","","","","","","","","","","","","4.921716057024967","4.921716057024967","4.921716057024967","","",""
"330.33289974","","","","","","","3.425898598688379","3.425898598688379","3.425898598688379","","","","","","","","",""
"330.350460692","","","","3.4429953208653004","3.4429953208653004","3.4429953208653004","","","","","","","","","","","",""
"330.566631379","","","","","","","","","","","","","","","","3.913396343775681","3.913396343775681","3.913396343775681"
"345.285958915","","","","","","","","","","4.814864928069114","4.814864928069114","4.814864928069114","","","","","",""
"345.286399613","3.4227803503711356","3.4227803503711356","3.4227803503711356","","","","","","","","","","","","","","",""
"345.308769123","","","","","","","","","","","","","4.910676513171325","4.910676513171325","4.910676513171325","","",""
"345.332694632","","","","","","","3.4221222210356843","3.4221222210356843","3.4221222210356843","","","","","","","","",""
"345.351128189","","","","3.43860447755142","3.43860447755142","3.43860447755142","","","","","","","","","","","",""
"345.567016995","","","","","","","","","","","","","","","","3.9454643447604036","3.9454643447604036","3.9454643447604036"
"360.286019114","","","","","","","","","","4.826407392938496","4.826407392938496","4.826407392938496","","","","","",""
"360.286536398","3.4223215111679677","3.4223215111679677","3.4223215111679677","","","","","","","","","","","","","","",""
"360.308800287","","","","","","","","","","","","","4.923540844420297","4.923540844420297","4.923540844420297","","",""
"360.332741512","","","","","","","3.4208180320288197","3.4208180320288197","3.4208180320288197","","","","","","","","",""
"360.350442983","","","","3.4382300357824223","3.4382300357824223","3.4382300357824223","","","","","","","","","","","",""
"360.567233487","","","","","","","","","","","","","","","","3.9825800350163783","3.9825800350163783","3.9825800350163783"
"375.285603103","","","","","","","","","","4.822389517578674","4.822389517578674","4.822389517578674","","","","","",""
"375.286172909","3.4190509956222193","3.4190509956222193","3.4190509956222193","","","","","","","","","","","","","","",""
"375.308586916","","","","","","","","","","","","","4.911998652268447","4.911998652268447","4.911998652268447","","",""
"375.331984932","","","","","","","3.4175231669853465","3.4175231669853465","3.4175231669853465","","","","","","","","",""
"375.35028462","","","","3.4342734763263616","3.4342734763263616","3.4342734763263616","","","","","","","","","","","",""
"375.566624848","","","","","","","","","","","","","","","","4.011854920593162","4.011854920593162","4.011854920593162"
"390.285816626","","","","","","","","","","4.819736740953475","4.819736740953475","4.819736740953475","","","","","",""
"390.286255642","3.415852188129828","3.415852188129828","3.415852188129828","","","","","","","","","","","","","","",""
"390.308486647","","","","","","","","","","","","","4.908911442789547","4.908911442789547","4.908911442789547","","",""
"390.333057337","","","","","","","3.4145340072617247","3.4145340072617247","3.4145340072617247","","","","","","","","",""
"390.350379663","","","","3.430683383364757","3.430683383364757","3.430683383364757","","","","","","","","","","","",""
"390.56732593","","","","","","","","","","","","","","","","4.044377581639789","4.044377581639789","4.044377581639789"
"405.286003906","3.4130369039421042","3.4130369039421042","3.4130369039421042","","","","","","","","","","","","","","",""
"405.286235744","","","","","","","","","","4.812411245548996","4.812411245548996","4.812411245548996","","","","","",""
"405.308800132","","","","","","","","","","","","","4.909066496204892","4.909066496204892","4.909066496204892","","",""
"405.3332813","","","","","","","3.411681379155031","3.411681379155031","3.411681379155031","","","","","","","","",""
"405.350800855","","","","3.427265602611359","3.427265602611359","3.427265602611359","","","","","","","","","","","",""
"405.567259682","","","","","","","","","","","","","","","","4.071564501154714","4.071564501154714","4.071564501154714"
"420.286042557","3.41342354991234","3.41342354991234","3.41342354991234","","","","","","","","","","","","","","",""
"420.286370416","","","","","","","","","","4.825055769228936","4.825055769228936","4.825055769228936","","","","","",""
"420.309133528","","","","","","","","","","","","","4.902291836751912","4.902291836751912","4.902291836751912","","",""
"420.33215592","","","","","","","3.412424337758766","3.412424337758766","3.412424337758766","","","","","","","","",""
"420.351159504","","","","3.42641431264308","3.42641431264308","3.42641431264308","","","","","","","","","","","",""
"420.567179983","","","","","","","","","","","","","","","","4.090129742270745","4.090129742270745","4.090129742270745"
"435.285887852","","","","","","","","","","4.837231246184355","4.837231246184355","4.837231246184355","","","","","",""
"435.286280364","3.410868927870396","3.410868927870396","3.410868927870396","","","","","","","","","","","","","","",""
"435.308549523","","","","","","","","","","","","","4.903559003204102","4.903559003204102","4.903559003204102","","",""
"435.332926198","","","","","","","3.4098978233856956","3.4098978233856956","3.4098978233856956","","","","","","","","",""
"435.350393107","","","","3.423440664808176","3.423440664808176","3.423440664808176","","","","","","","","","","","",""
"435.567281368","","","","","","","","","","","","","","","","4.10806356009767","4.10806356009767","4.10806356009767"
"450.285825828","","","","","","","","","","4.829984345174707","4.829984345174707","4.829984345174707","","","","","",""
"450.285840404","3.40848129189301","3.40848129189301","3.40848129189301","","","","","","","","","","","","","","",""
"450.308279143","","","","","","","","","","","","","4.905244090561364","4.905244090561364","4.905244090561364","","",""
"450.332863624","","","","","","","3.407537952352252","3.407537952352252","3.407537952352252","","","","","","","","",""
"450.350682005","","","","3.420578553489748","3.420578553489748","3.420578553489748","","","","","","","","","","","",""
"450.567349931","","","","","","","","","","","","","","","","4.122129807309188","4.122129807309188","4.122129807309188"
"465.286321856","3.4062343215635784","3.4062343215635784","3.4062343215635784","","","","","","","","","","","","","","",""
"465.308449007","","","","","","","","","","","","","4.883280912830028","4.883280912830028","4.883280912830028","","",""
"465.332849101","","","","","","","3.408400034032878","3.408400034032878","3.408400034032878","","","","","","","","",""
"465.350614123","","","","3.417963803018073","3.417963803018073","3.417963803018073","","","","","","","","","","","",""
"465.567443338","","","","","","","","","","","","","","","","4.1397843628737","4.1397843628737","4.1397843628737"
"480.285750903","3.406052449952027","3.406052449952027","3.406052449952027","","","","","","","","","","","","","","",""
"480.332414459","","","","","","","3.406229379612472","3.406229379612472","3.406229379612472","","","","","","","","",""
"480.350447671","","","","3.418224506611342","3.418224506611342","3.418224506611342","","","","","","","","","","","",""
"480.567259907","","","","","","","","","","","","","","","","4.165827354538535","4.165827354538535","4.165827354538535"
"495.286279337","3.403941619002424","3.403941619002424","3.403941619002424","","","","","","","","","","","","","","",""
"495.333029943","","","","","","","3.404175771159303","3.404175771159303","3.404175771159303","","","","","","","","",""
"495.350379881","","","","3.4158288342391647","3.4158288342391647","3.4158288342391647","","","","","","","","","","","",""
"495.5668241","","","","","","","","","","","","","","","","4.1788488708808496","4.1788488708808496","4.1788488708808496"
"510.286458392","3.4020137905823145","3.4020137905823145","3.4020137905823145","","","","","","","","","","","","","","",""
"510.333118783","","","","","","","3.402179369540762","3.402179369540762","3.402179369540762","","","","","","","","",""
"510.350589177","","","","3.4135038081361326","3.4135038081361326","3.4135038081361326","","","","","","","","","","","",""
"510.566710654","","","","","","","","","","","","","","","","4.1546290904622785","4.1546290904622785","4.1546290904622785"
"525.286642627","3.402079086169384","3.402079086169384","3.402079086169384","","","","","","","","","","","","","","",""
"525.332877255","","","","","","","3.4032170878397014","3.4032170878397014","3.4032170878397014","","","","","","","","",""
"525.350267091","","","","3.4134405259083147","3.4134405259083147","3.4134405259083147","","","","","","","","","","","",""
"540.285848788","3.400250786619874","3.400250786619874","3.400250786619874","","","","","","","","","","","","","","",""
"540.33275011","","","","","","","3.4013541250236625","3.4013541250236625","3.4013541250236625","","","","","","","","",""
"540.350778814","","","","3.411360735683122","3.411360735683122","3.411360735683122","","","","","","","","","","","",""
"555.285997802","3.398569761578418","3.398569761578418","3.398569761578418","","","","","","","","","","","","","","",""
"555.332591634","","","","","","","3.399588072922251","3.399588072922251","3.399588072922251","","","","","","","","",""
"555.351134313","","","","3.40933206748751","3.40933206748751","3.40933206748751","","","","","","","","","","","",""
"570.28627424","3.396972927585141","3.396972927585141","3.396972927585141","","","","","","","","","","","","","","",""
"570.332990492","","","","","","","3.397964532466733","3.397964532466733","3.397964532466733","","","","","","","","",""
"570.350490499","","","","3.407412018198651","3.407412018198651","3.407412018198651","","","","","","","","","","","",""
"585.286721512","3.397319776551577","3.397319776551577","3.397319776551577","","","","","","","","","","","","","","",""
"585.332758684","","","","","","","3.3981805923155677","3.3981805923155677","3.3981805923155677","","","","","","","","",""
"585.350537661","","","","3.4077224459345405","3.4077224459345405","3.4077224459345405","","","","","","","","","","","",""
"600.286416146","3.395833165348098","3.395833165348098","3.395833165348098","","","","","","","","","","","","","","",""
"600.332838015","","","","","","","3.3966177527187833","3.3966177527187833","3.3966177527187833","","","","","","","","",""
"600.35084164","","","","3.4059837831474384","3.4059837831474384","3.4059837831474384","","","","","","","","","","","",""
"615.285967515","3.394417257346105","3.394417257346105","3.394417257346105","","","","","","","","","","","","","","",""
"615.332129225","","","","","","","3.3951324083861967","3.3951324083861967","3.3951324083861967","","","","","","","","",""
"615.350948402","","","","3.404272447579259","3.404272447579259","3.404272447579259","","","","","","","","","","","",""
