"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - throughput","raschka_gpu_45887 - throughput__MIN","raschka_gpu_45887 - throughput__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - throughput","raschka_gpu_5678 - throughput__MIN","raschka_gpu_5678 - throughput__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - throughput","raschka_gpu_123 - throughput__MIN","raschka_gpu_123 - throughput__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - throughput","karpathy_gpu_45887 - throughput__MIN","karpathy_gpu_45887 - throughput__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - throughput","karpathy_gpu_5678 - throughput__MIN","karpathy_gpu_5678 - throughput__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - throughput","karpathy_gpu_123 - throughput__MIN","karpathy_gpu_123 - throughput__MAX"
"6000","30","30","30","11972.412071299677","11972.412071299677","11972.412071299677","30","30","30","12011.424976472894","12011.424976472894","12011.424976472894","30","30","30","12069.755748962398","12069.755748962398","12069.755748962398","61","61","61","61360.29153146525","61360.29153146525","61360.29153146525","61","61","61","58375.16414826997","58375.16414826997","58375.16414826997","61","61","61","54453.61085657323","54453.61085657323","54453.61085657323"
"6200","31","31","31","12103.960754816604","12103.960754816604","12103.960754816604","31","31","31","11892.64435806626","11892.64435806626","11892.64435806626","31","31","31","11880.974865721726","11880.974865721726","11880.974865721726","63","63","63","58386.571611607396","58386.571611607396","58386.571611607396","63","63","63","60391.06565381384","60391.06565381384","60391.06565381384","63","63","63","59854.74899138057","59854.74899138057","59854.74899138057"
"6400","32","32","32","11794.49203887699","11794.49203887699","11794.49203887699","32","32","32","11878.7899749239","11878.7899749239","11878.7899749239","32","32","32","11853.459545755877","11853.459545755877","11853.459545755877","65","65","65","60003.699385463835","60003.699385463835","60003.699385463835","65","65","65","58317.401780425505","58317.401780425505","58317.401780425505","65","65","65","60054.878915787944","60054.878915787944","60054.878915787944"
"6600","33","33","33","11764.038033253997","11764.038033253997","11764.038033253997","33","33","33","10927.062647573493","10927.062647573493","10927.062647573493","33","33","33","12231.077413769535","12231.077413769535","12231.077413769535","67","67","67","61662.45536885592","61662.45536885592","61662.45536885592","67","67","67","60138.54789154676","60138.54789154676","60138.54789154676","67","67","67","58388.45675210887","58388.45675210887","58388.45675210887"
"6800","34","34","34","11815.446835846606","11815.446835846606","11815.446835846606","34","34","34","12030.038012757834","12030.038012757834","12030.038012757834","34","34","34","12181.990572062894","12181.990572062894","12181.990572062894","69","69","69","61884.1273353061","61884.1273353061","61884.1273353061","69","69","69","61232.897728163785","61232.897728163785","61232.897728163785","69","69","69","58033.726648256525","58033.726648256525","58033.726648256525"
"7000","35","35","35","11390.367438709383","11390.367438709383","11390.367438709383","35","35","35","12172.914810230237","12172.914810230237","12172.914810230237","35","35","35","11787.956166564238","11787.956166564238","11787.956166564238","71","71","71","61327.54507323307","61327.54507323307","61327.54507323307","71","71","71","61447.64011009155","61447.64011009155","61447.64011009155","71","71","71","60921.19788015312","60921.19788015312","60921.19788015312"
"7200","36","36","36","11736.582939186566","11736.582939186566","11736.582939186566","36","36","36","12023.220139102175","12023.220139102175","12023.220139102175","36","36","36","12033.976389108257","12033.976389108257","12033.976389108257","73","73","73","61539.97687397462","61539.97687397462","61539.97687397462","73","73","73","61572.1782811268","61572.1782811268","61572.1782811268","73","73","73","61172.93836726119","61172.93836726119","61172.93836726119"
"7400","37","37","37","11333.093423891005","11333.093423891005","11333.093423891005","37","37","37","12332.9094021248","12332.9094021248","12332.9094021248","37","37","37","11919.910382694588","11919.910382694588","11919.910382694588","75","75","75","61708.08114063839","61708.08114063839","61708.08114063839","75","75","75","61767.762174328076","61767.762174328076","61767.762174328076","75","75","75","60936.2157683413","60936.2157683413","60936.2157683413"
"7600","38","38","38","11920.917164756027","11920.917164756027","11920.917164756027","38","38","38","11954.812240803003","11954.812240803003","11954.812240803003","38","38","38","11929.411435709182","11929.411435709182","11929.411435709182","77","77","77","59926.57084853601","59926.57084853601","59926.57084853601","77","77","77","62062.07766488752","62062.07766488752","62062.07766488752","77","77","77","61313.42779289608","61313.42779289608","61313.42779289608"
"7800","39","39","39","12055.89296199647","12055.89296199647","12055.89296199647","39","39","39","11878.816224853157","11878.816224853157","11878.816224853157","39","39","39","11774.564716859999","11774.564716859999","11774.564716859999","79","79","79","56947.70312717533","56947.70312717533","56947.70312717533","79","79","79","58561.5136937155","58561.5136937155","58561.5136937155","79","79","79","61949.51034633213","61949.51034633213","61949.51034633213"
"8000","40","40","40","12518.370461968008","12518.370461968008","12518.370461968008","40","40","40","11695.684670684772","11695.684670684772","11695.684670684772","40","40","40","11778.315390226113","11778.315390226113","11778.315390226113","81","81","81","59601.41401441824","59601.41401441824","59601.41401441824","81","81","81","58117.75255112828","58117.75255112828","58117.75255112828","81","81","81","59642.59021618","59642.59021618","59642.59021618"
"8200","41","41","41","12127.109470911731","12127.109470911731","12127.109470911731","41","41","41","11757.717533324692","11757.717533324692","11757.717533324692","41","41","41","11654.607604912413","11654.607604912413","11654.607604912413","83","83","83","60095.73829121119","60095.73829121119","60095.73829121119","83","83","83","60360.82975340762","60360.82975340762","60360.82975340762","83","83","83","61475.45501844636","61475.45501844636","61475.45501844636"
"8400","42","42","42","12018.712452660067","12018.712452660067","12018.712452660067","42","42","42","11917.858960170113","11917.858960170113","11917.858960170113","42","42","42","11606.165573304026","11606.165573304026","11606.165573304026","85","85","85","61740.9025237415","61740.9025237415","61740.9025237415","85","85","85","61757.10431026891","61757.10431026891","61757.10431026891","85","85","85","61793.53387250221","61793.53387250221","61793.53387250221"
"8497","","","","","","","","","","","","","","","","","","","87","87","87","1254.2857535854375","1254.2857535854375","1254.2857535854375","87","87","87","1230.7479561583893","1230.7479561583893","1230.7479561583893","87","87","87","285.2966081287983","285.2966081287983","285.2966081287983"
